word,ipa,meaningCn,sentenceEn,sentenceCn,phonics,imageUrl
prepare,,,,,,
butter,,,,,,
pan,,,,,,
stove,,,,,,
mix,,,,,,
salt,,,,,,
minute,,,,,,
stir,,,,,,
several,,,,,,
both,,,,,,
need,,,,,,
thirsty,,,,,,
alone,,,,,,
family,,,,,,
child,,,,,,
children,,,,,,
far,,,,,,
people,,,,,,
hard,,,,,,
air,,,,,,
scientist,,,,,,
plan,,,,,,
building,,,,,,
observe,,,,,,
February,,,,,,
future,,,,,,
below,,,,,,
winter,,,,,,
famous,,,,,,
spring,,,,,,
clap,,,,,,
celebrate,,,,,,
farmer,,,,,,
market,,,,,,
money,,,,,,
vegetable,,,,,,
bright,,,,,,
enjoy,,,,,,
tasty,,,,,,
shop,,,,,,
baseball,,,,,,
fan,,,,,,
view,,,,,,
field,,,,,,
swing,,,,,,
fast,,,,,,
cheer,,,,,,
amazed,,,,,,
math,,,,,,
line,,,,,,
